weight,horsepower,torque,transmission,body style,drive train,quarter mile,0-60
1566.0,156.0,235.0,2,5,1,17.4 s @ 80.2 mph,9.1
1589.0,185.0,260.0,1,5,1,16.4 s @ 87.0 mph,7.7
1060.0,85.0,118.0,1,5,1,20.4 s @ 66.3 mph,16.6
1085.0,229.0,348.0,1,3,1,16.5 s @ 101.9 mph,6.1
1091.0,360.0,393.0,1,6,1,12.4 s @ 115.0 mph,4.0
1165.0,398.0,422.0,1,6,1,12.1 s @ 119.3 mph,4.5
1092.0,162.0,162.0,1,6,1,,7.8
1000.0,380.0,434.0,1,6,1,,3.8
1060.0,354.0,393.0,1,6,1,,4.2
1238.0,253.0,373.0,1,3,1,14.3 s @ 99.0 mph,5.9
1020.0,171.0,233.0,1,3,1,15.1 s @ 98.5 mph,6.5
989.0,170.0,233.0,1,3,1,15.4 s,6.6
1058.0,324.0,434.0,1,3,1,14.1 s @ 111.8 mph,4.8
965.0,275.0,423.0,1,6,1,,5.5
1050.0,284.0,414.0,1,3,1,15.2 s @ 108.1 mph,4.8
800.0,94.0,132.0,1,6,1,,12.0
1059.0,320.0,434.0,1,3,1,12.8 s,4.0
1023.0,243.0,374.0,1,3,1,,4.9
1100.0,349.0,448.0,1,6,1,,5.0
1100.0,360.0,434.0,1,6,1,12.4 s,3.8
1150.0,279.0,366.0,1,3,1,14.2 s @ 98.0 mph,5.6
1004.0,193.0,298.0,1,3,1,14.7 s @ 95.0 mph,6.0
1100.0,233.0,370.0,1,6,1,,5.7
968.0,101.0,160.0,1,3,1,17.8 s @ 74.0 mph,10.9
1128.0,212.0,250.0,1,2,0,14.2 s,5.9
1628.0,274.0,336.0,2,5,0,,6.6
920.0,112.0,142.0,1,2,0,,8.3
1773.0,272.0,334.0,2,0,0,15.0 s @ 93.7 mph,6.5
2409.0,511.0,746.0,2,0,1,,4.4
2770.0,443.0,790.0,2,0,2,14.5 s @ 92.0 mph,5.7
2556.0,386.0,544.0,2,0,2,14.7 s @ 93.9 mph,6.0
2656.0,394.0,649.0,2,0,2,14.5 s @ 95.0 mph,6.1
1914.0,248.0,382.0,1,0,2,15.7 s @ 88.0 mph,7.1
